1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000
500	500	462	70963	72776	6370345	736048	337807	30000	5110629
450	450	456	70491	72143	6339468	7824	14192	29000	5110500
425	425	307	50617	59329	6007740	5031	8331	23000	5110400
400	400	252	50600	59281	5000000	5000	5000	22000	5110300
350	375	106	50544	59281	3575327	1014	4977	21700	5110200
329	358	106	50544	59281	3575327	1014	4977	21600	5110190
326	346	106	50544	59281	3575327	1014	4977	21550	5110180
317	232	106	50544	59281	3575327	1014	4977	21540	5110170
317	120	106	50544	59281	3575327	1014	4977	21537	5110163
